"shapeid","x","y","List ID","Name","Address","Town","State","Zip","Recorded","County","Telephones","Dates List","Affiliated","Sex","Title","S.I.C. Cod","Industry C","addrtype","addrlocat"
"35","-71.4079248","41.7330289","36","ALMACS SUPERMARKETS","18 AIRPORT RD","WARWICK","RI","2889","Recorded: 01/1987 - 01/1996","KENT COUNTY","401-737-4459","01/1987 - 01/1996","401-738-1780","1/1/1994","COLLAMATI, ERNEST","NULL","NULL","54110000","Grocery stores"
"36","-71.4079248","41.7330289","37","ALMACS SUPERMARKETS STORES","18 AIRPORT RD","WARWICK","RI","2889","Recorded: 04/1994 - 01/1997","KENT COUNTY","401-737-4459","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"37","-71.8128278","41.3620814","38","ALMACS","90 FRANKLIN","WESTERLY","RI","2891","Recorded: 01/1994 - 01/1995","WASHINGTON COUNTY","401-596-5660","01/1994 - 01/1995","NULL","NULL","NULL","NULL","NULL","54119900","Grocery stores"
"38","-71.5229525","41.7163651","39","ALMACS INC","970 MAIN ST","WEST WARWICK","RI","2893","Recorded: 01/1994","KENT COUNTY","401-828-7493","1/1/1994","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"39","-71.5229525","41.7163651","40","ALMACS SUPERMARKETS","970 MAIN ST","WEST WARWICK","RI","2893","Recorded: 01/1993 - 01/1996","KENT COUNTY","401-828-7493","01/1993 - 01/1996","NULL","NULL","MISTRETTA, MICHAEL","NULL","NULL","54110000","Grocery stores"
"40","-71.5229525","41.7163651","41","ALMACS SUPERMARKETS STORES","970 MAIN ST","WEST WARWICK","RI","2893","Recorded: 04/1994 - 01/1997","KENT COUNTY","401-828-7493","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"41","-71.5152686","41.9844003","42","ALMACS INC","1400 PARK AVE","WOONSOCKET","RI","2895","Recorded: 01/1994 - 06/1997","PROVIDENCE COUNTY","401-766-6313","01/1994 - 06/1997","NULL","NULL","NULL","NULL","NULL","54119900","Grocery stores"
"42","-71.5152686","41.9844003","43","ALMACS SUPERMARKETS","1400 PARK AVE","WOONSOCKET","RI","2895","Recorded: 01/1991 - 01/1996","PROVIDENCE COUNTY","54110000","Grocery stores","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"43","-71.4128343","41.8239891","44","ALMACS SUPERMARKETS STORES","N MAIN ST UNIVERSITY HGTS","PROVIDENCE","RI","2900","Recorded: 04/1994 - 01/1997","PROVIDENCE COUNTY","401-421-7187","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"44","-71.3436889","41.7601851","45","ALMACS SUPERMARKETS STORES","1050 WILLETT AVE","PROVIDENCE","RI","2900","Recorded: 04/1994 - 01/1997","PROVIDENCE COUNTY","401-433-0128","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"45","-71.468359","41.8611283","46","ALMACS FLOWER SHOP","1919 MINERAL SPRING AVE","PROVIDENCE","RI","2904","Recorded: 01/1990 - 01/1997","PROVIDENCE COUNTY","401-353-9445","01/1990 - 01/1997","NULL","NULL","NULL","NULL","NULL","59920000","Florists"
"46","-71.468359","41.8611283","47","ALMACS SUPERMARKETS","1919 MINERAL SPRING AVE","PROVIDENCE","RI","2904","Recorded: 01/1990 - 01/1996","PROVIDENCE COUNTY","401-944-7154","01/1990 - 01/1996","401-353-3020","01/1994 - 01/1996","NULL","NULL","NULL","54110000","Grocery stores"
"47","-71.468359","41.8611283","48","ALMACS SUPERMARKETS STORES","1919 MINERAL SPRING AVE","PROVIDENCE","RI","2904","Recorded: 04/1994 - 01/1997","PROVIDENCE COUNTY","401-353-3020","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","54310000","Fruit and vegetable markets"
"48","-71.468359","41.8611283","49","ALMACS FLOWER SHOP","1919 MINRL SPRING AVE","PROVIDENCE","RI","2904","Recorded: 04/1994 - 07/1995","PROVIDENCE COUNTY","401-353-9445","04/1994 - 07/1995","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"49","-71.45998","41.809815","50","ALMACS SUPERMARKETS","50 MURRAY ST","PROVIDENCE","RI","2909","Recorded: 01/1994 - 01/1996","PROVIDENCE COUNTY","401-944-7154","01/1994 - 01/1996","NULL","NULL","NULL","NULL","NULL","54119900","Grocery stores"
"50","-71.45998","41.809815","51","ALMACS SUPERMARKETS STORES","50 MURRAY ST","PROVIDENCE","RI","2909","Recorded: 04/1994 - 01/1997","PROVIDENCE COUNTY","401-944-7154","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","54310000","Fruit and vegetable markets"
"51","-71.424466","41.771847","52","ALMACS SUPERMARKET","1415 ELMWOOD AVE","CRANSTON","RI","2910","Recorded: 01/1993 - 03/1994","PROVIDENCE COUNTY","401-941-1000","01/1993 - 03/1994","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"52","-71.424466","41.771847","53","ALMACS SUPERMARKET STORES","1415 ELMWOOD AVE","CRANSTON","RI","2910","Recorded: 04/1994 - 07/1995","PROVIDENCE COUNTY","401-941-1000","04/1994 - 07/1995","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"53","-71.435654","41.772125","54","ALMACS SUPERMARKETS STORES","550 PONTIAC AVE","CRANSTON","RI","2910","Recorded: 01/1995 - 01/1997","PROVIDENCE COUNTY","401-941-8140","01/1995 - 01/1997","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"54","-71.435654","41.772125","55","ALMACS SUPERMRKTS","550 PONTIAC AVE","CRANSTON","RI","2910","Recorded: 01/1996","PROVIDENCE COUNTY","401-941-8140","35065","NULL","NULL","NULL","NULL","NULL","99990000","Nonclassifiable establishments"
"55","-71.367977","41.8447038","56","ALMACS INC","NOYES AVE","EAST PROVIDENCE","RI","2914","Recorded: 03/1992 - 03/1994","PROVIDENCE COUNTY","401-438-2700","03/1992 - 03/1994","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"56","-71.3544309","41.8243394","57","ALMACS SUPERMARKETS","1855 PAWTUCKET AVE","EAST PROVIDENCE","RI","2914","Recorded: 01/1994","PROVIDENCE COUNTY","401-438-5911","34335","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"57","-71.3436889","41.7601851","58","ALMACS SUPERMARKETS","1050 WILLETT AVE","RIVERSIDE","RI","2915","Recorded: 01/1990 - 01/1996","PROVIDENCE COUNTY","401-433-0128","01/1990 - 01/1996","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"58","-71.3695224","41.8444191","59","ALMACS INC","1 NOYES AVE","RUMFORD","RI","2916","Recorded: 01/1994 - 01/1995","PROVIDENCE COUNTY","401-438-2700","01/1994 - 01/1995","NULL","NULL","NULL","NULL","NULL","65129900","Nonresidential building operators"
"59","-71.3695224","41.8444191","60","ALMACS SUPER MARKET","1 NOYES AVE","RUMFORD","RI","2916","Recorded: 03/1994","PROVIDENCE COUNTY","401-555-1212","34394","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"60","-71.3695224","41.8444191","61","ALMACS SUPERMARKETS","1 NOYES AVE","RUMFORD","RI","2916","Recorded: 01/1995 - 01/1996","PROVIDENCE COUNTY","401-438-2700","01/1995 - 01/1996","NULL","NULL","NULL","NULL","NULL","54110100","Supermarkets"
"61","-71.3695224","41.8444191","62","ALMACS SUPERMARKETS OFFICE","1 NOYES AVE","RUMFORD","RI","2916","Recorded: 01/1995 - 01/1997","PROVIDENCE COUNTY","401-438-2700","01/1995 - 01/1997","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"62","-71.5028244","41.823529","63","ALMACS INC","1450 HARTFORD AVE","JOHNSTON","RI","2919","Recorded: 03/1992 - 03/1994","PROVIDENCE COUNTY","401-831-0772","03/1992 - 03/1994","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"63","-71.4587159","41.7609756","64","ALMACS INC","210 HILLSIDE RD","CRANSTON","RI","2920","Recorded: 01/1993 - 03/1994","PROVIDENCE COUNTY","401-943-2452","01/1993 - 03/1994","NULL","NULL","NULL","NULL","NULL","54110000","Grocery stores"
"64","-71.4560504","41.7559142","65","ALMACS SUPERMARKETS","151 SOCKANOSSET CROSS RD","CRANSTON","RI","2920","Recorded: 01/1986 - 01/1999","PROVIDENCE COUNTY","401-942-0820","01/1986 - 01/1999","NULL","NULL","KAVANAUGH, DAN","M","NULL","59920000","Florists"
"65","-71.4560504","41.7559142","66","ALMACS SUPERMARKETS STORES","151 SOCKANOSSET CROSS RD","CRANSTON","RI","2920","Recorded: 01/1995 - 01/1997","PROVIDENCE COUNTY","401-943-2452","01/1995 - 01/1997","NULL","NULL","NULL","NULL","NULL","54310000","Fruit and vegetable markets"
"66","-71.4560504","41.7559142","67","ALMACS SUPERMARKETS STORES FAX LINE","151 SOCKANOSSET CROSS RD","CRANSTON","RI","2920","Recorded: 01/1995 - 01/1997","PROVIDENCE COUNTY","401-942-7749","01/1995 - 01/1997","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"67","-71.4560504","41.7559142","68","ALMACS SUPERMARKETS STORES FLORIST SHOP","151 SOCKANOSSET CROSS RD","CRANSTON","RI","2920","Recorded: 04/1994 - 01/1997","PROVIDENCE COUNTY","401-942-0820","04/1994 - 01/1997","NULL","NULL","NULL","NULL","NULL","59920000","Florists"
"68","-71.4372796","41.7798226","69","ALMACS SUPERMARKETS","151 SOCKNSTT CROS RD","CRANSTON","RI","2920","Recorded: 01/1994 - 01/1996","PROVIDENCE COUNTY","401-943-2452","01/1994 - 01/1996","NULL","NULL","NULL","NULL","NULL","54119900","Grocery stores"
